value,cdf,label
225.983400,0.003333,full
226.528100,0.006667,full
229.255800,0.010000,full
234.229200,0.013333,full
234.378400,0.016667,full
235.776300,0.020000,full
236.958900,0.023333,full
237.997700,0.026667,full
239.123900,0.030000,full
241.834100,0.033333,full
242.011900,0.036667,full
242.090800,0.040000,full
242.281500,0.043333,full
245.601500,0.046667,full
245.707000,0.050000,full
253.869400,0.053333,full
260.307500,0.056667,full
260.480600,0.060000,full
261.784100,0.063333,full
262.537800,0.066667,full
265.483200,0.070000,full
268.562200,0.073333,full
270.721600,0.076667,full
281.009800,0.080000,full
289.541100,0.083333,full
292.657400,0.086667,full
301.989700,0.090000,full
307.840100,0.093333,full
308.661600,0.096667,full
309.197000,0.100000,full
317.801500,0.103333,full
318.106300,0.106667,full
319.530600,0.110000,full
321.132700,0.113333,full
321.681900,0.116667,full
321.804700,0.120000,full
324.117300,0.123333,full
324.158300,0.126667,full
324.290800,0.130000,full
324.554900,0.133333,full
324.833600,0.136667,full
325.420300,0.140000,full
326.004200,0.143333,full
326.844000,0.146667,full
327.823600,0.150000,full
328.207400,0.153333,full
328.299600,0.156667,full
328.536300,0.160000,full
329.343100,0.163333,full
330.382400,0.166667,full
330.658600,0.170000,full
331.223100,0.173333,full
331.267200,0.176667,full
331.461000,0.180000,full
331.789400,0.183333,full
332.001500,0.186667,full
334.313100,0.190000,full
334.483000,0.193333,full
335.162500,0.196667,full
335.233000,0.200000,full
337.505300,0.203333,full
339.076100,0.206667,full
339.458500,0.210000,full
340.252900,0.213333,full
341.957200,0.216667,full
342.229600,0.220000,full
343.092900,0.223333,full
343.761300,0.226667,full
343.996400,0.230000,full
344.355800,0.233333,full
345.379000,0.236667,full
346.257500,0.240000,full
346.731700,0.243333,full
347.038800,0.246667,full
347.397500,0.250000,full
347.999100,0.253333,full
349.363700,0.256667,full
350.780200,0.260000,full
352.039100,0.263333,full
352.097100,0.266667,full
353.449500,0.270000,full
353.501600,0.273333,full
