value,cdf,label
0.000000,0.003448,full
0.000000,0.006897,full
0.000000,0.010345,full
0.000000,0.013793,full
0.000000,0.017241,full
0.000000,0.020690,full
0.000000,0.024138,full
0.000000,0.027586,full
0.000000,0.031034,full
0.000000,0.034483,full
0.000000,0.037931,full
0.000000,0.041379,full
0.000000,0.044828,full
0.000000,0.048276,full
0.000000,0.051724,full
0.000000,0.055172,full
0.000000,0.058621,full
0.000000,0.062069,full
0.000000,0.065517,full
0.000000,0.068966,full
0.000000,0.072414,full
0.000000,0.075862,full
0.000000,0.079310,full
0.000000,0.082759,full
0.000000,0.086207,full
0.000000,0.089655,full
0.000000,0.093103,full
0.000000,0.096552,full
0.000000,0.100000,full
0.000000,0.103448,full
0.000000,0.106897,full
0.000000,0.110345,full
0.000000,0.113793,full
0.000000,0.117241,full
0.000000,0.120690,full
0.000000,0.124138,full
0.000000,0.127586,full
0.000000,0.131034,full
0.000000,0.134483,full
0.000000,0.137931,full
0.000000,0.141379,full
0.000000,0.144828,full
0.000000,0.148276,full
0.000000,0.151724,full
0.000000,0.155172,full
0.000000,0.158621,full
0.000000,0.162069,full
0.000000,0.165517,full
0.000000,0.168966,full
0.000000,0.172414,full
0.000000,0.175862,full
0.000000,0.179310,full
0.000000,0.182759,full
0.000000,0.186207,full
0.000000,0.189655,full
0.000000,0.193103,full
0.000000,0.196552,full
0.000000,0.200000,full
0.000000,0.203448,full
0.000000,0.206897,full
0.000000,0.210345,full
0.000000,0.213793,full
0.000000,0.217241,full
0.000000,0.220690,full
0.000000,0.224138,full
0.000000,0.227586,full
0.000000,0.231034,full
0.000000,0.234483,full
0.000000,0.237931,full
0.000000,0.241379,full
0.000000,0.244828,full
0.000000,0.248276,full
0.000000,0.251724,full
0.000000,0.255172,full
0.000000,0.258621,full
0.000000,0.262069,full
0.000000,0.265517,full
0.000000,0.268966,full
0.000000,0.272414,full
0.000000,0.275862,full
0.000000,0.279310,full
0.000000,0.282759,full
0.000000,0.286207,full
0.000000,0.289655,full
0.000000,0.293103,full
0.000000,0.296552,full
0.000000,0.300000,full
0.000000,0.303448,full
0.000000,0.306897,full
0.000000,0.310345,full
0.000000,0.313793,full
0.000000,0.317241,full
0.000000,0.320690,full
0.000000,0.324138,full
0.000000,0.327586,full
0.000000,0.331034,full
0.000000,0.334483,full
0.000000,0.337931,full
0.000000,0.341379,full
0.000000,0.344828,full
0.000000,0.348276,full
0.000000,0.351724,full
0.000000,0.355172,full
0.000000,0.358621,full
0.000000,0.362069,full
0.000000,0.365517,full
0.000000,0.368966,full
0.000000,0.372414,full
0.000000,0.375862,full
0.000000,0.379310,full
0.000000,0.382759,full
0.000000,0.386207,full
0.000000,0.389655,full
0.000000,0.393103,full
0.000000,0.396552,full
0.000000,0.400000,full
0.000000,0.403448,full
0.000000,0.406897,full
0.000000,0.410345,full
0.000000,0.413793,full
0.000000,0.417241,full
0.000000,0.420690,full
0.000000,0.424138,full
0.000000,0.427586,full
0.000000,0.431034,full
0.000000,0.434483,full
0.000000,0.437931,full
0.000000,0.441379,full
0.000000,0.444828,full
0.000000,0.448276,full
0.000000,0.451724,full
0.000000,0.455172,full
0.000000,0.458621,full
0.000000,0.462069,full
0.000000,0.465517,full
0.000000,0.468966,full
0.000000,0.472414,full
0.000000,0.475862,full
0.000000,0.479310,full
0.000000,0.482759,full
0.000000,0.486207,full
0.000000,0.489655,full
0.000000,0.493103,full
0.000000,0.496552,full
0.000000,0.500000,full
0.000000,0.503448,full
0.000000,0.506897,full
0.000000,0.510345,full
0.000000,0.513793,full
0.000000,0.517241,full
0.000000,0.520690,full
0.000000,0.524138,full
0.000000,0.527586,full
0.000000,0.531034,full
0.000000,0.534483,full
0.000000,0.537931,full
0.000000,0.541379,full
0.000000,0.544828,full
0.000000,0.548276,full
0.000000,0.551724,full
0.000000,0.555172,full
0.000000,0.558621,full
0.000000,0.562069,full
0.000000,0.565517,full
0.000000,0.568966,full
0.000000,0.572414,full
0.000000,0.575862,full
0.000000,0.579310,full
0.000000,0.582759,full
0.000000,0.586207,full
0.000000,0.589655,full
0.000000,0.593103,full
0.000000,0.596552,full
0.000000,0.600000,full
0.000000,0.603448,full
0.000000,0.606897,full
0.000000,0.610345,full
0.000001,0.613793,full
0.000001,0.617241,full
0.000001,0.620690,full
0.000001,0.624138,full
0.000001,0.627586,full
0.000001,0.631034,full
0.000001,0.634483,full
0.000001,0.637931,full
0.000001,0.641379,full
0.000001,0.644828,full
0.000001,0.648276,full
0.000001,0.651724,full
0.000001,0.655172,full
0.000001,0.658621,full
0.000001,0.662069,full
0.000001,0.665517,full
0.000001,0.668966,full
0.000001,0.672414,full
0.000002,0.675862,full
0.000002,0.679310,full
0.000002,0.682759,full
0.000002,0.686207,full
0.000002,0.689655,full
0.000002,0.693103,full
0.000002,0.696552,full
0.000002,0.700000,full
0.000002,0.703448,full
0.000002,0.706897,full
0.000003,0.710345,full
0.000003,0.713793,full
0.000003,0.717241,full
0.000003,0.720690,full
0.000003,0.724138,full
0.000003,0.727586,full
0.000003,0.731034,full
0.000004,0.734483,full
0.000004,0.737931,full
0.000004,0.741379,full
0.000004,0.744828,full
0.000005,0.748276,full
0.000005,0.751724,full
0.000005,0.755172,full
0.000006,0.758621,full
0.000007,0.762069,full
0.000008,0.765517,full
0.000008,0.768966,full
0.000008,0.772414,full
0.000009,0.775862,full
0.000010,0.779310,full
0.000011,0.782759,full
0.000012,0.786207,full
0.000012,0.789655,full
0.000012,0.793103,full
0.000012,0.796552,full
0.000014,0.800000,full
0.000015,0.803448,full
0.000015,0.806897,full
0.000016,0.810345,full
0.000019,0.813793,full
0.000021,0.817241,full
0.000022,0.820690,full
0.000024,0.824138,full
0.000027,0.827586,full
0.000029,0.831034,full
0.000031,0.834483,full
0.000031,0.837931,full
0.000031,0.841379,full
0.000035,0.844828,full
0.000035,0.848276,full
0.000036,0.851724,full
0.000040,0.855172,full
0.000043,0.858621,full
0.000076,0.862069,full
0.000100,0.865517,full
0.000116,0.868966,full
0.000131,0.872414,full
0.000219,0.875862,full
0.000390,0.879310,full
0.000445,0.882759,full
0.000786,0.886207,full
0.001561,0.889655,full
0.002360,0.893103,full
0.005178,0.896552,full
0.229545,0.900000,full
0.339799,0.903448,full
