value,cdf,label
0.139746,0.018519,raw
0.174805,0.037037,raw
0.205611,0.055556,raw
0.256418,0.074074,raw
0.316243,0.092593,raw
0.338090,0.111111,raw
0.340934,0.129630,raw
0.359773,0.148148,raw
0.422141,0.166667,raw
0.431784,0.185185,raw
0.441024,0.203704,raw
0.447208,0.222222,raw
0.473556,0.240741,raw
0.513089,0.259259,raw
0.514079,0.277778,raw
0.520474,0.296296,raw
0.524190,0.314815,raw
0.541021,0.333333,raw
0.543909,0.351852,raw
0.548185,0.370370,raw
0.550717,0.388889,raw
0.553391,0.407407,raw
0.570114,0.425926,raw
0.573152,0.444444,raw
0.588853,0.462963,raw
0.595698,0.481481,raw
0.615231,0.500000,raw
0.618717,0.518519,raw
0.671132,0.537037,raw
0.671502,0.555556,raw
0.680357,0.574074,raw
0.681933,0.592593,raw
0.737447,0.611111,raw
0.743447,0.629630,raw
0.768387,0.648148,raw
0.769439,0.666667,raw
0.769824,0.685185,raw
0.771132,0.703704,raw
0.780443,0.722222,raw
0.788955,0.740741,raw
0.789913,0.759259,raw
0.802097,0.777778,raw
0.806736,0.796296,raw
0.820744,0.814815,raw
0.848278,0.833333,raw
0.848553,0.851852,raw
0.868240,0.870370,raw
0.877158,0.888889,raw
0.885004,0.907407,raw
0.900791,0.925926,raw
0.923501,0.944444,raw
0.924923,0.962963,raw
0.935048,0.981481,raw
0.965527,1.000000,raw
